operator,publication,site,proxy,depth,age,run,TEX86,BAY.LOW,BAY.MED,BAY.HIGH,subBAY.LOW,subBAY.MED,subBAY.HIGH,1302,1300,1298,1296,1292,1292',1050-tot,1036-tot,1022,,,,,,
SH,"Hou et al., 2022 CP",1168,TEX86,22.66,2.65,LC21040000040,0.39,-1.90,6.97,14.08,-3.35,3.70,10.44,4.19E+07,3.40E+06,1.38E+06,2.41E+05,4.00E+07,5.15E+05,922423.00,332406.00,519688.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,22.71,2.66,LC22060000139,0.42,1.62,9.90,16.76,-0.17,6.63,13.50,1.79E+07,2.08E+06,1.01E+06,1.60E+05,1.99E+07,3.60E+05,187350.80,74727.40,71807.20,,,,,,
SH,"Hou et al., 2022 CP",1168,TEX86,22.88,2.67,LC21040000041,0.38,-2.35,6.61,13.81,-3.77,3.33,10.06,4.60E+07,4.09E+06,1.66E+06,3.01E+05,4.27E+07,5.49E+05,422618.00,318611.80,546004.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,23.04,2.68,LC22060000109,0.41,0.59,9.03,16.02,-1.10,5.74,12.59,4.59E+07,5.29E+06,2.41E+06,4.41E+05,5.21E+07,8.67E+05,1659734.30,472525.10,929782.50,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,23.33,2.70,LC22030000061,0.52,9.91,17.14,24.60,7.34,13.94,22.05,9.09E+05,1.22E+05,7.01E+04,1.27E+04,1.00E+06,4.98E+04,276204.00,41501.60,55234.50,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,23.56,2.71,LC22060000098,0.50,8.66,15.95,23.12,6.13,12.74,20.57,2.70E+07,3.64E+06,2.23E+06,3.21E+05,3.42E+07,1.16E+06,2767006.60,605955.70,777102.20,,,,,,
SH,"Hou et al., 2022 CP",1168,TEX86,23.72,2.72,LC21040000042,0.44,2.60,10.73,17.55,0.67,7.43,14.49,3.07E+07,3.44E+06,1.75E+06,2.86E+05,3.27E+07,6.09E+05,2545773.00,405743.60,549351.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,23.83,2.73,LC22060000012,0.43,2.15,10.34,17.26,0.37,7.06,13.99,3.62E+07,4.74E+06,2.35E+06,3.48E+05,4.14E+07,8.79E+05,1573626.60,283163.30,471397.60,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,24.23,2.75,LC22060000102,0.48,6.31,13.86,20.80,3.99,10.60,18.08,1.68E+07,2.41E+06,1.39E+06,2.07E+05,2.06E+07,6.10E+05,695410.30,188496.20,301799.90,,,,,,
SH,"Hou et al., 2022 CP",1168,TEX86,24.39,2.76,LC21040000016,0.45,4.05,11.95,18.72,2.01,8.63,15.79,5.94E+07,6.83E+06,3.43E+06,5.69E+05,6.57E+07,1.61E+06,2291425.00,1315473.00,2165900.00,,,,,,
